age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,w_raw,w_transformed
23,M,434,4,4,3.8,0.98936170212766,0.0,0.15,0.037037037037037,0.075,0.947368421052632,0.592592592592593,0.761904761904762,0.134020618556701,0.666666666666667,-0.0419932810750281,0.592592592592593,0.611904761904762,0.096983581519664,0.591666666666667,0.982300884955752,0.340425531914894,0.463414634146341,0.112903225806452,0.397727272727273,2,NaN,1.0743652855969614,6.999136494848509,-2.2448983426261337,0.012387329687155224
32,f,480,3,2,3.8,0.980769230769231,0.96,0.0,0.0833333333333333,0.470588235294118,1.0,1.0,0.0,0.0,0.464285714285714,0.0192307692307693,0.04,0.0,-0.0833333333333333,-0.00630252100840334,0.985294117647059,0.980392156862745,0.0,0.0147058823529412,0.467289719626168,1,NaN,0.8571055952272979,5.520835900577528,-4.621590017900178,1.904050134282631e-6
37,m,409,2,5,3.9,0.989130434782609,0.9,0.818181818181818,0.0416666666666667,0.857142857142857,0.904761904761905,0.523809523809524,1.0,0.021978021978022,0.761904761904762,-0.0843685300207039,-0.376190476190476,0.181818181818182,-0.0196886446886447,-0.0952380952380952,0.973451327433628,0.707317073170732,0.906976744186046,0.0260869565217391,0.80952380952381,2,NaN,0.009123534474044362,7.751963835706052,-4.608057567610205,2.0322407183748226e-6
31,m,421,1,3,3.9,1.0,0.833333333333333,0.0454545454545455,0.136363636363636,0.456521739130435,1.0,0.875,1.0,0.043956043956044,0.948717948717949,0.0,0.0416666666666666,0.954545454545455,-0.0924075924075924,0.492196209587514,1.0,0.85,0.533333333333333,0.0619469026548673,0.682352941176471,2,NaN,0.06114317032214882,8.842951938224367,-3.4344374802319035,0.0002968925139518741
39,m,422,4,11,3.8,1.0,0.04,0.461538461538462,0.0,0.254901960784314,1.0,0.454545454545455,0.842105263157895,0.0759493670886076,0.634146341463415,0.0,0.414545454545455,0.380566801619433,0.0759493670886076,0.379244380679101,1.0,0.234042553191489,0.622222222222222,0.0588235294117647,0.423913043478261,2,NaN,0.9960682302995694,8.083327103286743,-3.60747500844305,0.00015459565432635047
23,m,447,2,2,3.8,0.990476190476191,0.428571428571429,0.28,0.0869565217391304,0.347826086956522,1.0,0.333333333333333,0.296296296296296,0.0,0.313725490196078,0.00952380952380949,-0.0952380952380952,0.0162962962962963,-0.0869565217391304,-0.0341005967604433,0.991935483870968,0.377777777777778,0.288461538461538,0.0175438596491228,0.329896907216495,1,NaN,1.2827691342579342,6.178860086808543,-4.423161969283184,4.86333826310581e-6
34,m,437,3,4,3.8,1.0,1.0,0.0,0.0,0.511627906976744,1.0,0.869565217391304,0.954545454545455,0.0106382978723404,0.911111111111111,0.0,-0.130434782608696,0.954545454545455,0.0106382978723404,0.399483204134367,1.0,0.933333333333333,0.488372093023256,0.00869565217391304,0.715909090909091,2,NaN,0.06811888408492214,11.389661052097026,-3.1214371498008626,0.0008998532960046157
55,m,427,0,4,3.8,0.990291262135922,0.96,0.0,0.0,0.452830188679245,0.9,0.909090909090909,0.888888888888889,0.0121951219512195,0.9,-0.0902912621359223,-0.0509090909090909,0.888888888888889,0.0121951219512195,0.447169811320755,0.975609756097561,0.936170212765957,0.347826086956522,0.00909090909090909,0.645161290322581,2,NaN,0.4206182775195221,8.500888690334046,-3.2919405370935637,0.0004974932346326622
34,f,363,2,7,3.8,1.0,0.217391304347826,0.954545454545455,0.0555555555555556,0.577777777777778,1.0,0.9375,1.0,0.0163934426229508,0.970588235294118,0.0,0.720108695652174,0.0454545454545454,-0.0391621129326047,0.39281045751634,1.0,0.512820512820513,0.975,0.0253164556962025,0.746835443037975,1,NaN,1.9433682812012727,11.23798507137403,-0.841391240026359,0.20006439566665885
21,m,443,4,7,3.8,1.0,0.344827586206897,0.259259259259259,0.0357142857142857,0.303571428571429,1.0,0.956521739130435,0.777777777777778,0.0217391304347826,0.86,0.0,0.611694152923538,0.518518518518519,-0.0139751552795031,0.556428571428571,1.0,0.615384615384615,0.518518518518518,0.025,0.566037735849057,2,NaN,0.6753149970720176,8.282994985462514,-4.155776308433145,1.6209244486031782e-5
